,sext,bpm,sext-current,amplitude,amplitude-std,phase,phase-std,real,real-std,imag,imag-std,vectors
1356,sc222,R:HP118,8.0,0.0031451804583478575,0.0014565259716091126,0.9575519506662067,0.4510732861576834,0.0018101258533738762,0.001380588891270045,0.0025720817464693333,0.0014927060811000304,5
1357,sc222,R:HP118,10.0,0.004044232631466636,0.0009591889680512955,1.1438846978355006,0.20984033882985578,0.001674561415274212,0.0008173446773838024,0.0036812581604519913,0.0009859951031909878,5
1358,sc222,R:HP120,-10.0,0.003676448047644984,0.0008963590535881486,2.59524182115043,0.204105900456272,-0.003141253589345632,0.0009718556251351439,0.001910182225458031,0.0006496410191288962,5
1359,sc222,R:HP120,-8.0,0.002626743284212703,0.00092846327268757,2.5345948697323695,0.30467228836814675,-0.0021575128787314,0.001033654766665249,0.0014983051956342813,0.0006588439719691177,5
1360,sc222,R:HP120,-6.0,0.0021126641113560136,0.0009797394698143724,2.524172251877343,0.39376534494339377,-0.0017226126217738005,0.0011100423674295047,0.0012230925568890065,0.0006478756462270273,5
1361,sc222,R:HP120,-4.0,0.001412360224005506,0.0009977113483286097,2.3939616553189547,0.6812901735694372,-0.0010356860368754576,0.001192249332486939,0.000960268626673855,0.0007070010868934071,5
1362,sc222,R:HP120,-2.0,0.0006528984457257051,0.001037881150948088,2.45529359725038,1.4609534477531423,-0.000505079962916781,0.0011910065279007271,0.00041372770210734575,0.0007540150106070574,5
1363,sc222,R:HP120,0.0,0.0002802780867415769,0.0016933472013008362,-2.5856933006523777,4.818945301773578,-0.00023807554697290485,0.0018769946455671135,-0.00014790483373125802,0.0010809982134515335,5
1364,sc222,R:HP120,2.0,0.0007838404365588788,0.0011391031044961728,-0.8989836241361729,1.5788683490162325,0.0004878668352666868,0.00139074820837015,-0.0006135077677028068,0.0009460347132274673,5
1365,sc222,R:HP120,4.0,0.0019582021459529733,0.0012806084327416716,-0.33589883387476355,0.5811604937260696,0.0018487668819178926,0.0012991637426661468,-0.0006454584887802026,0.0011168004230450595,5
1366,sc222,R:HP120,6.0,0.00225948597511946,0.0010962362207839642,-0.7491078142368388,0.4743492936889887,0.0016546141819776432,0.0012412600053843324,-0.0015386776077398383,0.0008998509724209812,5
1367,sc222,R:HP120,8.0,0.003199833480792453,0.0015831104407370005,-0.611545192514157,0.4713378078941034,0.0026199015778113396,0.0016523469293747081,-0.001837130922765713,0.0014320136413198468,5
1368,sc222,R:HP120,10.0,0.004113832443718044,0.000972220682694703,-0.4479132338248559,0.19517074529760026,0.0037080144433739317,0.0010175613693832904,-0.0017816414517846972,0.000744600506597777,5
1369,sc222,R:HP122,-10.0,0.003929669142537468,0.0009193894335081509,0.8981010846863349,0.20396438376336717,0.0024485623741294644,0.0005385538609957187,0.003073571516950377,0.0010943760912630056,5
1370,sc222,R:HP122,-8.0,0.002766060472462815,0.0008957715548255035,0.8228341609703851,0.3093013297122222,0.0018813257547881782,0.0005443260195069738,0.002027733695950211,0.0011126882460034977,5
1371,sc222,R:HP122,-6.0,0.002277559544748865,0.0009631236381713798,0.8133535593296884,0.40727920523788624,0.0015648328614361888,0.0005413962908141217,0.001654864222722241,0.0012226789679974134,5
1372,sc222,R:HP122,-4.0,0.0015061850932893712,0.0009806144591048714,0.7111920638275558,0.7243696954009546,0.001141062194469761,0.00054998093308959,0.0009831432263912338,0.001359956876787772,5
1373,sc222,R:HP122,-2.0,0.0007514066595238779,0.0010607914168933687,0.8643211049476601,1.2695774357878264,0.00048778064489514347,0.000577132611774614,0.0005715610294994848,0.0013047042259175272,5
1374,sc222,R:HP122,0.0,0.0002542479812496697,0.0020259938746494737,1.962760812598535,4.5287754463784085,-9.712391136000241e-05,0.0008678458398533802,0.00023496591627652466,0.0021627044326524795,5
1375,sc222,R:HP122,2.0,0.0008446031687192633,0.0010273214851383684,-2.644202009505178,1.7175505018474109,-0.000742263079732049,0.0007854637277444377,-0.000402988874632184,0.0015946214334942802,5
1376,sc222,R:HP122,4.0,0.0018958281499778268,0.0013351324790723449,-2.20775808685308,0.6139359904566889,-0.0011275546541925415,0.000915045177832633,-0.0015240685273494388,0.0015165665668450386,5
1377,sc222,R:HP122,6.0,0.002397109981426319,0.0009564844807390887,-2.524969768892686,0.48405311395963696,-0.00195564870166284,0.0006922053180444766,-0.0013862086490633847,0.0013349444579689132,5
1378,sc222,R:HP122,8.0,0.003235845026460442,0.0017103784631825349,-2.4443825876825884,0.5742463339070768,-0.002480717012993962,0.0012985349916032516,-0.002077675657245638,0.0021661036627814217,5
1379,sc222,R:HP122,10.0,0.004138594836473752,0.0009493577849308659,-2.2435829097038167,0.20121649387098325,-0.002579038862524925,0.0005763088473166438,-0.003236746169546408,0.0011236666671835193,5
1380,sc222,R:HP124,-10.0,0.004152200078692425,0.000829237130476909,-0.8354101927083438,0.2134989173050797,0.0027856012144894813,0.0011084243956233028,-0.0030791543266501125,0.0004948681542530246,5
1381,sc222,R:HP124,-8.0,0.002914070195732794,0.00080799947790046,-0.8810087755569901,0.3157111444838482,0.0018544365181694797,0.0011219666619005006,-0.0022478590493484286,0.0004903693804030992,5
1382,sc222,R:HP124,-6.0,0.002391629231050645,0.0008465418670057684,-0.8658953725665202,0.3972325296342471,0.00154967623070004,0.0011787877259759744,-0.001821645947713006,0.00047922353512897984,5
1383,sc222,R:HP124,-4.0,0.0016210555555093741,0.0008704200969870779,-0.9649168433334043,0.7117879444438916,0.0009231672010453919,0.0013641533543560969,-0.0013325101999466355,0.0004775788107654696,5
1384,sc222,R:HP124,-2.0,0.00085097315402256,0.001091787740503474,-0.6846889957666734,1.0993011781122903,0.000659177228034184,0.0013511243838540121,-0.0005381827671974205,0.0004915061797829659,5
1385,sc222,R:HP124,0.0,0.0004032726153880449,0.0020528238530522777,0.31770555332590206,2.279867588887928,0.0003830907062998435,0.0021500122789822147,0.00012597743079060262,0.0006609420143427573,5
